Year,WaterYear,Apr-Aug,Apr-Sept
388.0320455,362.0040026,200.1059057,311.0700455
363.8298661,377.2008491,228.6994814,258.3288491
382.8168929,355.9839098,275.8828929,276.8988929
227.116679,271.058679,140.8926221,151.932679
324.456445,321.408445,220.6787209,253.590445
229.1613347,246.2983611,172.4980946,173.4003611
388.4526959,362.1713861,251.0801474,268.2537464
256.5830905,279.0922564,175.7158166,185.2753248
396.2313294,392.2665376,264.9013147,276.7096598
248.6654007,272.2853099,173.831914,199.8746105
464.8490796,464.8490796,400.3013942,416.3350796
